week,inc
200850,84
200851,184
200852,323
200901,319
200902,457
200903,829
200904,868
200905,640
200906,440
200907,225
200908,174
200909,112
200910,85
200911,64
200912,62
200913,44
200914,42
200915,28
200916,23
200917,15
200918,15
200919,12
200920,15
200921,11
200922,10
200923,7
200924,12
200925,12
200926,16
200927,16
200928,25
200929,17
200930,22
200931,48
200932,37
200933,39
200934,40
200935,50
200936,73
200937,161
200938,220
200939,193
200940,178
200941,160
200942,158
200943,209
200944,271
200945,234
200946,356
200947,603
200948,744
200949,754
200950,604
200951,395
200952,275
200953,153
201001,106
201002,65
201003,58
201004,54
201005,35
201006,44
201007,31
201008,25
201009,19
201010,14
201011,14
201012,11
201013,11
201014,10
201015,6
201016,6
201017,4
201018,7
201019,4
201020,4
201021,6
201022,10
201023,6
201024,6
